EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR.,SIG.STR. %,TOTAL STR.,TD,TD %,SUB.ATT,REV.,CTRL,HEAD,BODY,LEG,DISTANCE,CLINCH,GROUND
UFC 294: Makhachev vs. Volkanovski 2,Islam Makhachev vs. Alexander Volkanovski,Round 1,Islam Makhachev,1,24 of 29,82%,39 of 46,0 of 1,0%,0,0,0:19,13 of 16,9 of 11,2 of 2,7 of 11,8 of 9,9 of 9
UFC 294: Makhachev vs. Volkanovski 2,Islam Makhachev vs. Alexander Volkanovski,Round 1,Alexander Volkanovski,0,4 of 6,66%,11 of 18,0 of 0,---,0,0,0:49,0 of 1,1 of 1,3 of 4,3 of 5,1 of 1,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Kamaru Usman vs. Khamzat Chimaev,Round 1,Kamaru Usman,0,3 of 3,100%,5 of 7,0 of 0,---,0,0,0:04,2 of 2,1 of 1,0 of 0,1 of 1,1 of 1,1 of 1
UFC 294: Makhachev vs. Volkanovski 2,Kamaru Usman vs. Khamzat Chimaev,Round 2,Kamaru Usman,0,11 of 18,61%,12 of 19,0 of 0,---,0,0,0:00,5 of 9,3 of 5,3 of 4,11 of 18,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Kamaru Usman vs. Khamzat Chimaev,Round 3,Kamaru Usman,0,22 of 45,48%,41 of 66,0 of 1,0%,0,0,0:00,20 of 41,2 of 4,0 of 0,21 of 44,0 of 0,1 of 1
UFC 294: Makhachev vs. Volkanovski 2,Kamaru Usman vs. Khamzat Chimaev,Round 1,Khamzat Chimaev,0,16 of 17,94%,61 of 66,2 of 7,28%,1,0,4:35,15 of 16,1 of 1,0 of 0,1 of 1,0 of 0,15 of 16
UFC 294: Makhachev vs. Volkanovski 2,Kamaru Usman vs. Khamzat Chimaev,Round 2,Khamzat Chimaev,0,9 of 20,45%,12 of 23,1 of 1,100%,0,0,0:41,3 of 10,2 of 6,4 of 4,9 of 20,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Kamaru Usman vs. Khamzat Chimaev,Round 3,Khamzat Chimaev,0,13 of 33,39%,34 of 54,1 of 4,25%,0,0,2:00,9 of 27,0 of 2,4 of 4,12 of 32,0 of 0,1 of 1
UFC 294: Makhachev vs. Volkanovski 2,Magomed Ankalaev vs. Johnny Walker,Round 1,Magomed Ankalaev,0,13 of 19,68%,16 of 23,1 of 1,100%,0,0,1:06,7 of 13,3 of 3,3 of 3,7 of 11,1 of 1,5 of 7
UFC 294: Makhachev vs. Volkanovski 2,Magomed Ankalaev vs. Johnny Walker,Round 1,Johnny Walker,0,14 of 27,51%,17 of 30,0 of 0,---,0,0,0:00,4 of 15,1 of 2,9 of 10,14 of 27,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Ikram Aliskerov vs. Warlley Alves,Round 1,Ikram Aliskerov,1,26 of 36,72%,26 of 36,0 of 0,---,0,0,0:00,20 of 29,6 of 6,0 of 1,26 of 36,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Ikram Aliskerov vs. Warlley Alves,Round 1,Warlley Alves,0,12 of 16,75%,12 of 16,0 of 0,---,0,0,0:00,3 of 6,1 of 1,8 of 9,12 of 16,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Said Nurmagomedov vs. Muin Gafurov,Round 1,Said Nurmagomedov,0,5 of 11,45%,5 of 11,0 of 0,---,1,0,0:03,2 of 7,2 of 2,1 of 2,5 of 11,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Said Nurmagomedov vs. Muin Gafurov,Round 1,Muin Gafurov,0,1 of 3,33%,1 of 3,0 of 1,0%,0,0,0:07,0 of 2,0 of 0,1 of 1,1 of 3,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Tim Elliott vs. Muhammad Mokaev,Round 1,Tim Elliott,0,20 of 31,64%,34 of 46,1 of 1,100%,0,0,1:40,10 of 19,9 of 11,1 of 1,14 of 25,4 of 4,2 of 2
UFC 294: Makhachev vs. Volkanovski 2,Tim Elliott vs. Muhammad Mokaev,Round 2,Tim Elliott,0,6 of 6,100%,33 of 35,0 of 0,---,2,0,0:00,6 of 6,0 of 0,0 of 0,0 of 0,0 of 0,6 of 6
UFC 294: Makhachev vs. Volkanovski 2,Tim Elliott vs. Muhammad Mokaev,Round 3,Tim Elliott,0,4 of 6,66%,4 of 6,0 of 0,---,0,0,0:43,3 of 5,1 of 1,0 of 0,0 of 2,4 of 4,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Tim Elliott vs. Muhammad Mokaev,Round 1,Muhammad Mokaev,0,10 of 28,35%,40 of 58,1 of 3,33%,0,0,1:36,4 of 16,3 of 8,3 of 4,9 of 27,1 of 1,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Tim Elliott vs. Muhammad Mokaev,Round 2,Muhammad Mokaev,0,3 of 3,100%,60 of 65,1 of 1,100%,0,0,4:56,3 of 3,0 of 0,0 of 0,0 of 0,0 of 0,3 of 3
UFC 294: Makhachev vs. Volkanovski 2,Tim Elliott vs. Muhammad Mokaev,Round 3,Muhammad Mokaev,0,1 of 2,50%,18 of 23,1 of 2,50%,1,0,1:52,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Mohammad Yahya vs. Trevor Peek,Round 1,Mohammad Yahya,0,8 of 13,61%,12 of 17,1 of 1,100%,1,0,0:18,5 of 10,2 of 2,1 of 1,8 of 13,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Mohammad Yahya vs. Trevor Peek,Round 2,Mohammad Yahya,0,21 of 46,45%,21 of 46,0 of 0,---,0,0,0:00,16 of 35,5 of 11,0 of 0,20 of 45,1 of 1,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Mohammad Yahya vs. Trevor Peek,Round 3,Mohammad Yahya,0,14 of 33,42%,14 of 33,0 of 0,---,0,0,0:06,7 of 25,7 of 8,0 of 0,13 of 32,1 of 1,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Mohammad Yahya vs. Trevor Peek,Round 1,Trevor Peek,0,16 of 25,64%,25 of 34,1 of 3,33%,0,0,2:13,6 of 13,4 of 6,6 of 6,13 of 20,1 of 3,2 of 2
UFC 294: Makhachev vs. Volkanovski 2,Mohammad Yahya vs. Trevor Peek,Round 2,Trevor Peek,0,23 of 39,58%,23 of 39,0 of 0,---,0,0,0:13,12 of 26,6 of 8,5 of 5,21 of 36,2 of 3,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Mohammad Yahya vs. Trevor Peek,Round 3,Trevor Peek,0,22 of 33,66%,35 of 50,3 of 4,75%,0,0,2:44,14 of 22,6 of 9,2 of 2,16 of 27,3 of 3,3 of 3
UFC 294: Makhachev vs. Volkanovski 2,Javid Basharat vs. Victor Henry,Round 1,Javid Basharat,0,29 of 42,69%,32 of 45,1 of 4,25%,0,0,0:29,8 of 21,8 of 8,13 of 13,25 of 38,4 of 4,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Javid Basharat vs. Victor Henry,Round 2,Javid Basharat,0,1 of 1,100%,1 of 1,0 of 0,---,0,0,0:00,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Javid Basharat vs. Victor Henry,Round 1,Victor Henry,0,25 of 36,69%,30 of 41,0 of 1,0%,0,0,0:14,3 of 10,6 of 6,16 of 20,23 of 34,2 of 2,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Javid Basharat vs. Victor Henry,Round 2,Victor Henry,0,0 of 0,---,0 of 0,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Abu Azaitar vs. Sedriques Dumas,Round 1,Abu Azaitar,0,5 of 9,55%,50 of 55,1 of 1,100%,0,0,0:09,4 of 8,0 of 0,1 of 1,2 of 3,0 of 2,3 of 4
UFC 294: Makhachev vs. Volkanovski 2,Abu Azaitar vs. Sedriques Dumas,Round 2,Abu Azaitar,0,20 of 50,40%,21 of 51,1 of 2,50%,0,0,0:23,13 of 39,4 of 7,3 of 4,14 of 42,2 of 2,4 of 6
UFC 294: Makhachev vs. Volkanovski 2,Abu Azaitar vs. Sedriques Dumas,Round 3,Abu Azaitar,0,16 of 47,34%,16 of 47,0 of 1,0%,0,0,0:00,4 of 31,9 of 11,3 of 5,15 of 45,1 of 2,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Abu Azaitar vs. Sedriques Dumas,Round 1,Sedriques Dumas,0,5 of 7,71%,43 of 45,1 of 1,100%,0,0,4:10,2 of 4,1 of 1,2 of 2,2 of 4,0 of 0,3 of 3
UFC 294: Makhachev vs. Volkanovski 2,Abu Azaitar vs. Sedriques Dumas,Round 2,Sedriques Dumas,0,14 of 29,48%,14 of 29,0 of 0,---,0,0,0:00,3 of 16,2 of 2,9 of 11,14 of 29,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Abu Azaitar vs. Sedriques Dumas,Round 3,Sedriques Dumas,0,15 of 43,34%,15 of 43,0 of 1,0%,0,0,0:00,6 of 25,2 of 8,7 of 10,15 of 43,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Mike Breeden vs. Anshul Jubli,Round 1,Mike Breeden,0,29 of 51,56%,29 of 51,0 of 1,0%,0,0,0:00,21 of 41,4 of 5,4 of 5,28 of 50,1 of 1,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Mike Breeden vs. Anshul Jubli,Round 2,Mike Breeden,0,29 of 68,42%,31 of 72,0 of 0,---,0,0,0:01,23 of 61,4 of 5,2 of 2,28 of 67,1 of 1,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Mike Breeden vs. Anshul Jubli,Round 3,Mike Breeden,1,34 of 58,58%,34 of 58,0 of 0,---,0,0,0:00,31 of 55,3 of 3,0 of 0,33 of 57,0 of 0,1 of 1
UFC 294: Makhachev vs. Volkanovski 2,Mike Breeden vs. Anshul Jubli,Round 1,Anshul Jubli,0,44 of 88,50%,44 of 88,0 of 0,---,0,0,0:00,23 of 62,14 of 19,7 of 7,40 of 81,4 of 7,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Mike Breeden vs. Anshul Jubli,Round 2,Anshul Jubli,0,48 of 84,57%,49 of 85,0 of 2,0%,0,0,0:05,33 of 66,11 of 14,4 of 4,46 of 78,2 of 6,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Mike Breeden vs. Anshul Jubli,Round 3,Anshul Jubli,0,11 of 22,50%,11 of 22,0 of 3,0%,0,0,0:00,7 of 17,2 of 3,2 of 2,11 of 22,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Nathaniel Wood vs. Muhammad Naimov,Round 1,Nathaniel Wood,0,10 of 17,58%,17 of 26,1 of 2,50%,0,0,0:45,4 of 10,1 of 2,5 of 5,8 of 15,2 of 2,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Nathaniel Wood vs. Muhammad Naimov,Round 2,Nathaniel Wood,0,1 of 1,100%,6 of 6,1 of 3,33%,0,0,1:32,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Nathaniel Wood vs. Muhammad Naimov,Round 3,Nathaniel Wood,0,39 of 54,72%,47 of 62,0 of 2,0%,0,0,0:27,32 of 46,5 of 5,2 of 3,28 of 41,2 of 3,9 of 10
UFC 294: Makhachev vs. Volkanovski 2,Nathaniel Wood vs. Muhammad Naimov,Round 1,Muhammad Naimov,0,18 of 28,64%,49 of 64,1 of 3,33%,0,1,2:37,13 of 21,3 of 4,2 of 3,6 of 11,5 of 5,7 of 12
UFC 294: Makhachev vs. Volkanovski 2,Nathaniel Wood vs. Muhammad Naimov,Round 2,Muhammad Naimov,0,11 of 13,84%,30 of 34,2 of 3,66%,0,0,2:59,4 of 6,4 of 4,3 of 3,1 of 1,4 of 5,6 of 7
UFC 294: Makhachev vs. Volkanovski 2,Nathaniel Wood vs. Muhammad Naimov,Round 3,Muhammad Naimov,0,19 of 40,47%,21 of 42,1 of 3,33%,0,0,1:06,14 of 33,3 of 5,2 of 2,17 of 36,2 of 4,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Viktoriia Dudakova vs. Jinh Yu Frey,Round 1,Viktoriia Dudakova,1,30 of 53,56%,31 of 54,0 of 3,0%,0,0,0:18,19 of 40,10 of 12,1 of 1,22 of 44,8 of 9,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Viktoriia Dudakova vs. Jinh Yu Frey,Round 2,Viktoriia Dudakova,0,11 of 23,47%,37 of 51,0 of 0,---,0,0,0:00,6 of 16,5 of 7,0 of 0,8 of 20,3 of 3,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Viktoriia Dudakova vs. Jinh Yu Frey,Round 3,Viktoriia Dudakova,0,33 of 70,47%,41 of 78,0 of 0,---,0,0,0:00,22 of 59,11 of 11,0 of 0,30 of 67,3 of 3,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Viktoriia Dudakova vs. Jinh Yu Frey,Round 1,Jinh Yu Frey,0,16 of 46,34%,16 of 46,0 of 0,---,0,0,0:00,9 of 37,5 of 7,2 of 2,15 of 44,1 of 2,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Viktoriia Dudakova vs. Jinh Yu Frey,Round 2,Jinh Yu Frey,0,11 of 22,50%,28 of 40,1 of 1,100%,0,0,3:48,8 of 17,0 of 2,3 of 3,4 of 14,0 of 0,7 of 8
UFC 294: Makhachev vs. Volkanovski 2,Viktoriia Dudakova vs. Jinh Yu Frey,Round 3,Jinh Yu Frey,0,20 of 33,60%,21 of 35,0 of 2,0%,0,0,0:52,14 of 26,3 of 4,3 of 3,18 of 31,2 of 2,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov vs. Bruno Silva,Round 1,Shara Magomedov,0,46 of 66,69%,46 of 66,0 of 0,---,0,0,0:00,16 of 31,10 of 12,20 of 23,46 of 66,0 of 0,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov vs. Bruno Silva,Round 2,Shara Magomedov,0,43 of 58,74%,82 of 101,0 of 0,---,0,0,0:00,21 of 36,9 of 9,13 of 13,24 of 35,7 of 9,12 of 14
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov vs. Bruno Silva,Round 3,Shara Magomedov,0,24 of 30,80%,94 of 107,0 of 0,---,0,0,0:00,19 of 25,3 of 3,2 of 2,4 of 5,8 of 12,12 of 13
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov vs. Bruno Silva,Round 1,Bruno Silva,0,28 of 42,66%,28 of 42,0 of 1,0%,0,0,0:00,20 of 33,3 of 4,5 of 5,27 of 41,1 of 1,0 of 0
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov vs. Bruno Silva,Round 2,Bruno Silva,0,26 of 36,72%,44 of 56,1 of 2,50%,0,0,2:25,20 of 30,3 of 3,3 of 3,8 of 15,3 of 3,15 of 18
